parameter,time
include_skfp_lingo_fingerprint,0.0008366107940673828
include_skfp_maccs_fingerprint,0.002544879913330078
include_skfp_map_fingerprint,0.003458261489868164
include_skfp_mhfp_fingerprint,0.005928754806518555
include_skfp_mqns_fingerprint,0.0006704330444335938
include_skfp_pattern_fingerprint,0.0025589466094970703
include_skfp_pubchem_fingerprint,0.012613058090209961
include_skfp_rdkit_fingerprint,0.004699230194091797
include_skfp_secfp_fingerprint,0.00569462776184082
include_skfp_topological_torsion_fingerprint,0.0006566047668457031
include_skfp_vsa_fingerprint,0.0009028911590576172
include_morgan_fingerprint,0.0006897449493408203
include_rdkit_fingerprint,0.04373884201049805
include_atom_pair_fingerprint,0.002035379409790039
include_topological_torsion_fingerprint,0.0006494522094726562
include_feature_morgan_fingerprint,0.0009102821350097656
include_avalon_fingerprint,0.004823207855224609
include_maccs_fingerprint,0.0043184757232666016
include_map4_fingerprint,0.04571270942687988
include_descriptors,0.018115758895874023
include_skfp_autocorr_fingerprint,0.005127668380737305
include_skfp_avalon_fingerprint,0.008195638656616211
include_skfp_ecfp_fingerprint,0.0008347034454345703
include_skfp_erg_fingerprint,0.002251863479614258
include_skfp_estate_fingerprint,0.006658315658569336
include_skfp_functional_groups_fingerprint,0.0014717578887939453
include_skfp_ghose_crippen_fingerprint,0.002223491668701172
include_skfp_klekota_roth_fingerprint,0.19955778121948242
include_skfp_laggner_fingerprint,0.022049427032470703
include_skfp_layered_fingerprint,0.008520364761352539
include_skfp_lingo_fingerprint,0.0011577606201171875
include_skfp_maccs_fingerprint,0.0048351287841796875
include_skfp_map_fingerprint,0.012387275695800781
include_skfp_mhfp_fingerprint,0.009248971939086914
include_skfp_mqns_fingerprint,0.0008697509765625
include_skfp_pattern_fingerprint,0.008772611618041992
include_skfp_pubchem_fingerprint,0.01998162269592285
include_skfp_rdkit_fingerprint,0.043935298919677734
include_skfp_secfp_fingerprint,0.011029243469238281
include_skfp_topological_torsion_fingerprint,0.0008757114410400391
include_skfp_vsa_fingerprint,0.0013256072998046875
include_morgan_fingerprint,0.0004761219024658203
include_rdkit_fingerprint,0.01827549934387207
include_atom_pair_fingerprint,0.0009288787841796875
include_topological_torsion_fingerprint,0.0003573894500732422
include_feature_morgan_fingerprint,0.0006895065307617188
include_avalon_fingerprint,0.005494117736816406
include_maccs_fingerprint,0.0022754669189453125
include_map4_fingerprint,0.03697705268859863
include_descriptors,0.009277820587158203
include_skfp_autocorr_fingerprint,0.0008065700531005859
include_skfp_avalon_fingerprint,0.006821632385253906
include_skfp_ecfp_fingerprint,0.0006873607635498047
include_skfp_erg_fingerprint,0.0012292861938476562
include_skfp_estate_fingerprint,0.0036470890045166016
include_skfp_functional_groups_fingerprint,0.0013713836669921875
include_skfp_ghose_crippen_fingerprint,0.0017936229705810547
include_skfp_klekota_roth_fingerprint,0.19559335708618164
include_skfp_laggner_fingerprint,0.01676654815673828
include_skfp_layered_fingerprint,0.004305839538574219
include_skfp_lingo_fingerprint,0.0008044242858886719
include_skfp_maccs_fingerprint,0.003289937973022461
include_skfp_map_fingerprint,0.0074024200439453125
include_skfp_mhfp_fingerprint,0.007262706756591797
include_skfp_mqns_fingerprint,0.0005373954772949219
include_skfp_pattern_fingerprint,0.005718708038330078
include_skfp_pubchem_fingerprint,0.012511253356933594
include_skfp_rdkit_fingerprint,0.017200946807861328
include_skfp_secfp_fingerprint,0.005904674530029297
include_skfp_topological_torsion_fingerprint,0.0005676746368408203
include_skfp_vsa_fingerprint,0.0008668899536132812
include_morgan_fingerprint,0.00032782554626464844
include_rdkit_fingerprint,0.008104324340820312
include_atom_pair_fingerprint,0.0003337860107421875
include_topological_torsion_fingerprint,0.00030112266540527344
include_feature_morgan_fingerprint,0.0006022453308105469
include_avalon_fingerprint,0.0015037059783935547
include_maccs_fingerprint,0.0012853145599365234
include_map4_fingerprint,0.028856515884399414
include_descriptors,0.004056215286254883
include_skfp_autocorr_fingerprint,0.0010073184967041016
include_skfp_avalon_fingerprint,0.0030286312103271484
include_skfp_ecfp_fingerprint,0.0005688667297363281
include_skfp_erg_fingerprint,0.0006487369537353516
include_skfp_estate_fingerprint,0.0021822452545166016
include_skfp_functional_groups_fingerprint,0.0013015270233154297
include_skfp_ghose_crippen_fingerprint,0.0014338493347167969
include_skfp_klekota_roth_fingerprint,0.17949366569519043
include_skfp_laggner_fingerprint,0.014420270919799805
include_skfp_layered_fingerprint,0.003299713134765625
include_skfp_lingo_fingerprint,0.0006241798400878906
include_skfp_maccs_fingerprint,0.0024576187133789062
include_skfp_map_fingerprint,0.002744913101196289
include_skfp_mhfp_fingerprint,0.005253314971923828
include_skfp_mqns_fingerprint,0.0004432201385498047
include_skfp_pattern_fingerprint,0.0031926631927490234
include_skfp_pubchem_fingerprint,0.010367631912231445
include_skfp_rdkit_fingerprint,0.007309675216674805
include_skfp_secfp_fingerprint,0.005102634429931641
include_skfp_topological_torsion_fingerprint,0.0004782676696777344
include_skfp_vsa_fingerprint,0.0007877349853515625
include_morgan_fingerprint,0.0009372234344482422
include_rdkit_fingerprint,0.011674642562866211
include_atom_pair_fingerprint,0.0029861927032470703
include_topological_torsion_fingerprint,0.0005097389221191406
include_feature_morgan_fingerprint,0.0010042190551757812
include_avalon_fingerprint,0.009591817855834961
include_maccs_fingerprint,0.003408670425415039
include_map4_fingerprint,0.04914546012878418
include_descriptors,0.025919198989868164
include_skfp_autocorr_fingerprint,0.0021514892578125
include_skfp_avalon_fingerprint,0.011174917221069336
include_skfp_ecfp_fingerprint,0.0008943080902099609
include_skfp_erg_fingerprint,0.0027070045471191406
include_skfp_estate_fingerprint,0.009563446044921875
include_skfp_functional_groups_fingerprint,0.0016832351684570312
include_skfp_ghose_crippen_fingerprint,0.0020258426666259766
include_skfp_klekota_roth_fingerprint,0.19227123260498047
include_skfp_laggner_fingerprint,0.02188277244567871
include_skfp_layered_fingerprint,0.0023946762084960938
include_skfp_lingo_fingerprint,0.0012624263763427734
include_skfp_maccs_fingerprint,0.004515647888183594
include_skfp_map_fingerprint,0.020947933197021484
include_skfp_mhfp_fingerprint,0.008501529693603516
include_skfp_mqns_fingerprint,0.0006029605865478516
